timestamp,session_id,tab,subject,grade,category,query_snippet,input_tokens,output_tokens,total_tokens,cost_inr
2026-03-29T17:13:43,7ea32846-e107-40ef-9f7d-69270a071822,Allocate,,,none,Can i amend the assessment to include more questions?,7193,64,7257,0.6311
2026-04-05T22:31:36,7d3828f3-df8b-4ed3-9813-a9c93feafb6c,Allocate,,,none,whats the difference between efforts index and competency we,9218,172,9390,0.8466
2026-04-09T13:31:16,5d37a7bc-0080-4d26-b3bd-eada800877d4,Allocate,,,none,is there an alternative way to effort index for science?,9217,32,9249,0.7877
2026-04-09T13:31:34,5d37a7bc-0080-4d26-b3bd-eada800877d4,Allocate,,,none,what is effort index?,9211,99,9310,0.8153
2026-04-19T10:08:36,96aac11d-2ce7-4fe4-91ac-f416cee895b0,Allocate,Social Science,Grade VI,managed_agent,why can social science also not use the progression framewor,9219,166,9385,0.8441
2026-05-11T20:00:17,83f39d4c-7248-45d1-81c5-5287952bc493,My Plans,Social Science,Grade VII,managed_agent,how to achieve competency in social science,9214,73,9287,0.8046
2026-05-11T20:29:24,83f39d4c-7248-45d1-81c5-5287952bc493,My Plans,Social Science,Grade VII,managed_agent,What is a Central competency?,9213,93,9306,0.813
2026-05-14T13:17:12,cd69cf11-8b4b-4c4e-bba2-bb934499729c,Allocate,,,managed_agent,Give me an example of progression stage in science,8681,32,8713,0.7426
2026-05-14T13:19:35,cd69cf11-8b4b-4c4e-bba2-bb934499729c,Allocate,,,managed_agent,how does science lesson planning work,8678,79,8757,0.7621
2026-05-14T13:21:10,cd69cf11-8b4b-4c4e-bba2-bb934499729c,Allocate,,,managed_agent,What is cognitive transformation in social sciences,8679,92,8771,0.7677
2026-05-14T13:21:38,d90497c1-3e49-4eef-baac-4cbcc232e804,Allocate,,,managed_agent,what is cognitive transformation in science,8678,98,8776,0.7701
2026-05-14T13:22:33,5d7b3b9e-c26b-4a53-9d04-b687e003f54c,Allocate,,,managed_agent,Is mathematics closely aligned to text book and if so why,8683,113,8796,0.7768
2026-05-14T13:24:47,f59430db-aabe-4754-8ea2-b990cda49ac3,Allocate,,,managed_agent,what is present competency in social sciences,8680,91,8771,0.7673
2026-05-31T20:58:30,5fa1b96d-7afc-4d09-8311-af076f635fc7,Allocate,The World Around Us,Grade III,managed_agent,Is competency the basis for the entire Lesson plan in Aruvi,9249,106,9355,0.8997
2026-05-31T21:10:01,daa4a339-49e3-41d0-a1e0-fb6caecb36bb,My Plans,The World Around Us,,managed_agent,tell me about TWAU assessment,9844,154,9998,0.9765
2026-05-31T21:17:04,daa4a339-49e3-41d0-a1e0-fb6caecb36bb,My Plans,The World Around Us,,managed_agent,why does TWAU not use competency to plan lesson plans,9850,105,9955,0.9545
2026-05-31T21:21:27,abfaf2b6-949e-4513-8e59-87cb7bf37aa3,Allocate,,,managed_agent,tell me something about effort index,9843,109,9952,0.9557
2026-05-31T21:24:09,eb0d8364-12f0-4460-96c2-e3cab127221e,Allocate,,,managed_agent,what subjects are handled by Aruvi now?,9848,120,9968,0.9612
2026-05-31T21:30:51,7767db9d-0bed-4b0e-9b60-89588d176f5f,Allocate,,,managed_agent,what subjects are handled by Aruvi now?,9869,102,9971,0.9549
2026-05-31T21:34:40,9f9cb61d-3314-49d5-ba93-e59dc6066b67,Allocate,,,managed_agent,what subjects does Aruvi handle now,9866,87,9953,0.9477
2026-05-31T21:38:13,9f9cb61d-3314-49d5-ba93-e59dc6066b67,Allocate,,,managed_agent,tell me about effort index,9862,132,9994,0.968
2026-05-31T21:48:51,0ffb9e7b-04e3-421e-bbe0-5de79929f887,Allocate,,,managed_agent,How is assessment handled in TWAU,9865,141,10006,0.9724
2026-05-31T21:49:31,0ffb9e7b-04e3-421e-bbe0-5de79929f887,Allocate,,,managed_agent,how does Aruvi handle English Lesson plans,9868,106,9974,0.9566
2026-05-31T21:49:58,0ffb9e7b-04e3-421e-bbe0-5de79929f887,Allocate,,,managed_agent,tell me something about effort index,9863,137,10000,0.9704
2026-05-31T21:54:22,d40d9aa4-d632-4d2b-a06f-bdf8b2cdd227,Allocate,,,managed_agent,tell me about competency mapping,9863,86,9949,0.947
2026-06-04T17:45:31,5144b4c8-3e0a-48d1-ae2f-ed9c8b7c45b5,Allocate,Mathematics,Grade III,managed_agent,अर्वी मेरी एक शिक्षक के रूप में कैसे सहायता कर सकता है?,10336,214,10550,1.0494
2026-06-04T17:46:55,5144b4c8-3e0a-48d1-ae2f-ed9c8b7c45b5,Allocate,Mathematics,Grade III,managed_agent,ஒரு ஆசிரியராக எனக்கு அருவி எவ்வாறு உதவும்?,10337,300,10637,1.089
2026-06-14T16:43:34,c66bdc4c-484e-4b9d-aea6-9aeed329a2ed,Allocate,,,managed_agent,why is Lesson plan approach for middle science different fro,10716,149,10865,1.0544
2026-06-14T21:11:08,ec829d08-3887-4541-84da-8a23bc8a8b49,Allocate,,,managed_agent,tell me about LP of TWAU,10711,135,10846,1.0475
2026-06-14T21:17:15,ec829d08-3887-4541-84da-8a23bc8a8b49,Allocate,,,managed_agent,science secondary-do you use progression stage,10711,96,10807,1.0296
