grade,chapter,title,counts,generations,cost_inr,seconds,exit,verdict,attempts,retried,report,log
vi,1,A Bottle of Dew (Fables and Folk Tales),8/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch01_20260815_154724.md,genon/out/runlogs/batch_english_vi_ch01_20260815_154724.log
vi,2,The Raven and the Fox (Fables and Folk Tales),6/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch02_20260815_154724.md,genon/out/runlogs/batch_english_vi_ch02_20260815_154724.log
vi,3,Rama to the Rescue (Fables and Folk Tales),10/8/6,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch03_20260815_154724.md,genon/out/runlogs/batch_english_vi_ch03_20260815_154724.log
vi,4,The Unlikely Best Friends (Friendship),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch04_20260815_154724.md,genon/out/runlogs/batch_english_vi_ch04_20260815_154724.log
vi,5,A Friend's Prayer (Friendship),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch05_20260815_154724.md,genon/out/runlogs/batch_english_vi_ch05_20260815_154724.log
vi,6,The Chair (Friendship),12/10/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch06_20260815_154725.md,genon/out/runlogs/batch_english_vi_ch06_20260815_154724.log
vi,7,Neem Baba (Nurturing Nature),7/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch07_20260815_154725.md,genon/out/runlogs/batch_english_vi_ch07_20260815_154724.log
vi,8,What a Bird Thought (Nurturing Nature),12/10/7,0,0.0,0.2,0,ALL PASS,1,,genon/out/library_reports/english_vi_ch08_20260815_154725.md,genon/out/runlogs/batch_english_vi_ch08_20260815_154724.log
vi,9,Spices that Heal Us (Nurturing Nature),11/9/7,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch09_20260815_154725.md,genon/out/runlogs/batch_english_vi_ch09_20260815_154724.log
vi,10,Change of Heart (Sports and Wellness),9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch10_20260815_154725.md,genon/out/runlogs/batch_english_vi_ch10_20260815_154724.log
vi,11,The Winner (Sports and Wellness),8/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch11_20260815_154726.md,genon/out/runlogs/batch_english_vi_ch11_20260815_154724.log
vi,12,Yoga — A Way of Life (Sports and Wellness),6/4,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch12_20260815_154726.md,genon/out/runlogs/batch_english_vi_ch12_20260815_154724.log
vi,13,Kalakritiyon ka Bharat (Culture and Tradition),9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch13_20260815_154726.md,genon/out/runlogs/batch_english_vi_ch13_20260815_154724.log
vi,14,The Kites (Culture and Tradition),9/7/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch14_20260815_154726.md,genon/out/runlogs/batch_english_vi_ch14_20260815_154724.log
vi,15,Ila Sachani: Embroidering Dreams with her Feet (Culture and Tradition),8/5,0,0.0,0.2,1,FAILURES — see report,1,,genon/out/library_reports/english_vi_ch15_20260815_154726.md,genon/out/runlogs/batch_english_vi_ch15_20260815_154724.log
vi,16,National War Memorial (Culture and Tradition),3,0,0.0,0.2,0,ALL PASS,1,,genon/out/library_reports/english_vi_ch16_20260815_154726.md,genon/out/runlogs/batch_english_vi_ch16_20260815_154724.log
